,artist,song,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,pink floyd,another brick in the wall (part 2),spotify:track:1xUTI8Ce8IQnyYCGPmrbzS,0.395,0.766,0,-11.041,1,0.0512,0.00583,0.00624,0.774,0.611,105.41,326373,4
1,barbra streisand,a woman in love,spotify:track:53No4na49hTw82MxrFh2PB,0.489,0.245,3,-16.876,0,0.0284,0.43,1.46e-05,0.298,0.333,169.747,230227,4
2,john lennon,(just like) starting over,spotify:track:5y0YreEOnQiKFAnCrcFIXz,0.701,0.79,9,-6.16,1,0.0725,0.301,6.06e-05,0.179,0.421,99.104,236547,4
3,diana ross,upside down,spotify:track:3pbtBomO4Zt5gGiqsYeiBH,0.873,0.855,5,-8.559,0,0.0615,0.179,0.0285,0.0377,0.884,107.868,245600,4
4,lipps inc,funkytown,spotify:track:5dIKF6uVJ206hj0pO0gg0I,0.893,0.509,0,-10.136,1,0.0659,0.00154,0.515,0.0783,0.334,122.478,469347,4
5,blondie,call me,spotify:track:7HKxTNVlkHsfMLhigmhC0I,0.554,0.833,2,-6.667,0,0.0347,0.000646,0.0025,0.0737,0.773,142.673,212227,4
6,queen,another one bites the dust,spotify:track:57JVGBtBLCfHw2muk5416J,0.933,0.528,5,-6.472,0,0.162,0.112,0.329,0.163,0.756,109.975,214653,4
7,queen,crazy little thing called love,spotify:track:35ItUJlMtjOQW3SSiTCrrw,0.599,0.762,0,-6.887,1,0.0423,0.714,4.43e-06,0.35,0.715,76.961,163373,4
8,olivia newton-john & electric light orchestra,xanadu,spotify:track:0RD3xVmGliXhhHkEiev2mW,0.557,0.616,11,-9.433,1,0.0368,0.144,0,0.111,0.559,127.746,203289,4
9,irene cara,fame,spotify:track:5CI1FP2Volc9wjz2MBZsGx,0.7,0.73,0,-8.763,0,0.0311,0.132,0,0.133,0.961,130.519,316067,4
10,abba,the winner takes it all,spotify:track:3oEkrIfXfSh9zGnE7eBzSV,0.454,0.788,6,-6.748,1,0.0371,0.574,0.000766,0.0859,0.52,126.15,294720,4
11,blondie,the tide is high,spotify:track:165NAtd2DRPKNQ6EVY0VG9,0.778,0.667,11,-7.273,1,0.0258,0.0514,0.0312,0.092,0.964,96.954,233893,4
12,sugarhill gang,rapper's delight,spotify:track:0FWhGmPVxLI6jOVF0wjALa,0.9,0.845,11,-7.306,0,0.257,0.465,0,0.0724,0.914,111.187,427360,4
13,the pretenders,brass in pocket (i'm special),spotify:track:2DFQhzSAB1NE1TT863WH2c,0.834,0.386,9,-14.241,1,0.0358,0.342,0,0.117,0.644,99.269,180415,4
14,stevie wonder,master blaster (jammin'),spotify:track:5EAgXGJ8Kw5QAfhQkZXYqT,0.877,0.422,10,-14.933,0,0.0546,0.04,0.000406,0.182,0.97,131.103,307933,4
15,kc & the sunshine band,please don't go,spotify:track:6dw6BquK0Mv72p6HpusqKN,0.482,0.615,6,-11.093,1,0.0398,0.00888,1.78e-06,0.0431,0.437,96.307,230533,4
16,the police,don't stand so close to me,spotify:track:5veJDT0MLsLbhYsx42GXUD,0.799,0.506,2,-9.414,1,0.0606,0.0453,0.00107,0.0365,0.518,140.309,242667,4
17,abba,super trouper,spotify:track:0J2p4KYdr6Mg4ET6JPlbe1,0.764,0.626,0,-8.274,1,0.0288,0.457,6.35e-06,0.201,0.961,118.34,252853,4
18,kenny rogers,lady,spotify:track:5Pj5zrq2nbKcAekH1AxbrO,0.362,0.183,3,-16.0,0,0.0347,0.861,0.000234,0.0932,0.2,136.646,231867,4
19,johnny logan,what's another year,spotify:track:3ta02cB4LPfhru6F9D4CjW,0.475,0.65,8,-6.391,1,0.0352,0.35,3.29e-06,0.0996,0.199,106.846,186000,4
20,leo sayer,more than i can say,spotify:track:3RJ81z1sPLeWEFuCfGaCLC,0.728,0.511,10,-11.178,1,0.0233,0.198,0.00052,0.322,0.714,96.406,220533,4
21,paul mccartney,coming up,spotify:track:4Ku6X72Q815qNd7ChuiDdD,0.817,0.767,8,-7.194,1,0.0468,0.457,0.0723,0.0606,0.878,128.93,231880,4
22,kenny rogers,coward of the county,spotify:track:0JkIre0YxNmKGMU5V7ZiDx,0.652,0.433,7,-12.843,1,0.0588,0.134,7.37e-06,0.146,0.675,91.471,258733,4
23,goombay dance band,sun of jamaica,spotify:track:5apwlmvQphkCJbHnMGUP2t,0.627,0.816,11,-10.361,0,0.0324,0.0984,0.000252,0.745,0.862,129.241,264000,4
24,captain & tennille,do that to me one more time,spotify:track:0m4jVVZrsv0bLkAr1uM6UG,0.728,0.524,7,-8.227,1,0.0255,0.563,0.000131,0.0913,0.51,90.262,256667,4
25,gary numan,cars,spotify:track:4QQEzkxcONBthDLfzqIh9S,0.545,0.578,2,-8.745,1,0.0406,0.0114,6.57e-05,0.0692,0.819,128.038,238907,4
26,the rolling stones,emotional rescue,spotify:track:5IATbFZds3cbOx8YxuMuko,0.678,0.621,5,-5.478,1,0.0623,0.111,0.0973,0.0394,0.776,113.389,339400,4
27,olivia newton-john, magic,spotify:track:56BSwBKWHYldQOgYLHiehs,0.697,0.611,2,-5.997,1,0.0265,0.0178,8.92e-05,0.11,0.603,103.77,271667,4
28,michael jackson,rock with you,spotify:track:7oOOI85fVQvVnK5ynNMdW7,0.808,0.535,1,-12.521,1,0.0353,0.179,9.91e-05,0.158,0.848,114.031,220627,4
29,the detroit spinners,working my way back to you,spotify:track:7cLkQkC9Z7hnN767rfRl5G,0.818,0.768,9,-6.975,0,0.0482,0.289,4.73e-06,0.107,0.922,121.562,242667,4
30,david bowie,ashes to ashes,spotify:track:37CRPk0L5ZpfPeePEPwE0t,0.71,0.743,1,-10.553,1,0.0507,0.273,0.000406,0.258,0.866,120.277,266160,4
31,elton john,little jeannie,spotify:track:19Kf8FxBJ5a1Bb8uKCrIIe,0.616,0.444,10,-14.224,1,0.0276,0.461,0.000115,0.0847,0.763,143.805,313187,4
32,christopher cross,sailing,spotify:track:6Hu6dzwlvoyg3zBUC8k4BK,0.469,0.382,2,-13.203,1,0.0374,0.364,0.00025,0.36,0.178,149.994,256147,4
33,george benson,give me the night,spotify:track:62GYoGszQfROZswLee6W3O,0.85,0.466,1,-15.673,1,0.0555,0.314,0.0234,0.129,0.86,109.936,222627,4
34,rocky burnett,tired of toein' the line,spotify:track:3E3K8IXR3o7XOBvaGE2e55,0.67,0.773,4,-10.953,0,0.0377,0.677,0.00192,0.309,0.827,120.465,223373,4
35,air supply,all out of love,spotify:track:7dQC53NiYOY9gKg3Qsu2Bs,0.513,0.262,0,-16.875,1,0.0276,0.313,5.51e-06,0.456,0.357,108.383,243000,4
36,neil diamond,love on the rocks,spotify:track:6XNGIaXv2xljDcxQ99p65f,0.361,0.193,9,-17.126,0,0.0387,0.889,4.4e-05,0.0879,0.164,64.572,217893,4
37,billy joel,it's still rock 'n' roll to me,spotify:track:64UioB4Nmwgn2f4cbIpAkl,0.752,0.684,0,-7.599,1,0.15,0.0994,0,0.0897,0.539,141.075,176440,4
38,bruce springsteen,hungry heart,spotify:track:1KsI8NEeAna8ZIdojI3FiT,0.641,0.894,8,-7.41,1,0.0273,0.0857,0.009,0.157,0.972,109.823,199453,4
39,dr hook,sexy eyes,spotify:track:6uxGAruWvj6O2hVBBTNITa,0.734,0.735,9,-10.13,0,0.0524,0.373,0,0.227,0.883,103.862,177427,4
40,the korgis,everybody's got to learn sometime ,spotify:track:2PxyiPwogw6C9yu1jRgFiA,0.425,0.298,1,-12.037,0,0.0258,0.0154,0.00133,0.0725,0.0929,75.038,251947,4
41,kool & the gang,ladies night,spotify:track:3pMeuv4OBarYqVR2bqCPVN,0.651,0.777,11,-7.853,1,0.167,0.186,0,0.0474,0.92,111.707,208733,4
42,split enz,i got you,spotify:track:3KOPorZiKeW6gFeIViqMoq,0.675,0.494,2,-11.794,1,0.0373,0.0405,6.99e-05,0.0736,0.829,125.736,209467,4
43,devo,whip it,spotify:track:4sscDOZCkbLSlDqcCgUJnX,0.78,0.869,9,-7.255,1,0.0517,0.0744,0.004,0.0621,0.957,157.902,161133,4
44,stephanie mills,never knew love like this before,spotify:track:1CqBel8F2RKf3mopnPf4Yv,0.739,0.566,11,-13.534,1,0.0335,0.384,3.07e-06,0.0735,0.739,114.049,325173,4
45,barbra streisand & barry gibb,guilty,spotify:track:3FOroRMOMdnkFO2pA4u0GT,0.647,0.59,0,-9.328,1,0.0356,0.499,1.16e-06,0.0929,0.935,150.295,262560,4
46,bette midler,the rose,spotify:track:562JrM9b7jiu8LgzV62x3o,0.347,0.228,0,-9.667,1,0.0296,0.901,0,0.38,0.184,133.574,221373,4
47,the vapors,turning japanese,spotify:track:1MANhf0nwr6gFwsRJMeDbr,0.503,0.908,0,-5.845,1,0.0641,0.0273,7.88e-05,0.396,0.92,179.929,224107,4
48,frank sinatra,theme from 'new york new york',spotify:track:3QksrtI9VFCBHWA4rgvcV8,0.408,0.414,2,-11.083,1,0.0297,0.282,0,0.153,0.576,107.469,206067,4
49,blondie,atomic,spotify:track:5QIbR39hAEDIOkr4ggh4xc,0.596,0.824,4,-4.893,0,0.0361,0.0504,0.129,0.0586,0.786,135.171,280324,4
50,joy division,love will tear us apart,spotify:track:34iOH7LY3vme5rQxsVILZ4,0.527,0.923,2,-7.458,1,0.0379,0.000541,0.765,0.127,0.899,146.924,208453,4
51,marti webb,take that look off your face,spotify:track:2iQ7KjoK5GD4n6V9OXoH7A,0.537,0.48,2,-11.677,1,0.0596,0.726,9.8e-05,0.185,0.338,106.467,179067,4
52,ottawan,disco,spotify:track:7KkdYJqxvq4ZFq9gvFy06v,0.714,0.867,7,-6.295,0,0.0569,0.11,8.98e-05,0.325,0.872,122.915,196507,4
53,robert palmer,johnny & mary,spotify:track:6rCHuZHFksNyiW1D9qpOEV,0.679,0.53,11,-13.897,0,0.0404,0.0301,0.211,0.03,0.971,152.606,239640,4
54,donna summer,on the radio,spotify:track:41v23mPw4Se92JKUGvnkmW,0.734,0.45,4,-13.92,0,0.035,0.113,1.13e-05,0.296,0.595,127.46,241507,4
55,the village people,can't stop the music,spotify:track:5kuOnxtnKdEBlKCxyegcvc,0.777,0.547,9,-13.11,0,0.0925,0.133,0,0.213,0.695,133.008,219067,4
56,cliff richard,dreamin',spotify:track:4KvbH0GiowrUxQDY9uoSLd,0.648,0.597,6,-13.247,1,0.0283,0.0015,0.00021,0.0983,0.879,134.116,220440,4
57,billy preston & syreeta,with you i'm born again,spotify:track:58GhFs15VYJJHfSk99AZN7,0.235,0.26,10,-13.747,1,0.0369,0.664,1.23e-05,0.129,0.325,80.309,219307,3
58,brothers johnson,stomp!,spotify:track:3EG65y2LtxWjfydabHdItb,0.859,0.782,10,-8.344,1,0.0369,0.154,0.0297,0.0693,0.931,119.518,247133,4
59,the pointer sisters,he's so shy,spotify:track:6R9NqD0WX9sJYs6PbA5onu,0.871,0.736,0,-7.896,0,0.0675,0.22,0.000725,0.0894,0.967,115.149,218320,4
60,michael jackson,off the wall,spotify:track:3zYpRGnnoegSpt3SguSo3W,0.827,0.595,3,-13.909,0,0.0565,0.182,0,0.0785,0.921,118.741,246000,4
61,kelly marie,feels like i'm in love,spotify:track:3Swc1delyFn1fwPDkInUhC,0.716,0.758,0,-9.395,1,0.0271,0.0569,0.00515,0.353,0.857,120.774,256667,4
62,supertramp,dreamer,spotify:track:5z4ljpMLi1LTF8UG9P53fH,0.664,0.414,5,-14.113,1,0.0675,0.864,0.0367,0.0813,0.831,147.883,213236,4
63,bob marley,could you be loved,spotify:track:5O4erNlJ74PIF6kGol1ZrC,0.916,0.72,0,-8.548,1,0.1,0.36,0.00016,0.0958,0.76,103.312,237000,4
64,the whispers,and the beat goes on,spotify:track:7oQ1wkBmYSBEC2x7U08dvn,0.793,0.643,11,-7.345,0,0.106,0.134,0.00246,0.0361,0.963,114.894,454253,4
65,donna summer,the wanderer,spotify:track:2tD4VPcIx0QPXphgKc73Gz,0.783,0.631,5,-12.06,1,0.0489,0.351,0.0131,0.152,0.77,137.179,227173,4
67,sos band,take your time (do it right),spotify:track:4ctf7oL8fFRPvBstJCTYWu,0.863,0.538,4,-13.924,0,0.0545,0.0128,0.0188,0.0877,0.877,118.931,460800,4
68,ac/dc,you shook me all night long,spotify:track:2SiXAy7TuUkycRVbbWDEpo,0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,210173,4
69,smokey robinson,cruisin',spotify:track:2gliw3L0oa4w8LqaHploje,0.498,0.63,6,-5.808,0,0.0276,0.416,0,0.238,0.822,169.115,352920,4
70,genesis,misunderstanding,spotify:track:7zjSZQkMoGKylSq6s1rK9Y,0.645,0.828,0,-8.493,1,0.0373,0.234,0,0.2,0.774,121.217,191667,3
71,roland kaiser,santa maria,spotify:track:7yUv6nCxiV1pEa5MdybU5b,0.669,0.566,10,-12.388,1,0.0288,0.329,0,0.192,0.708,111.395,243480,4
72,fleetwood mac,sara,spotify:track:0q1exbzIDRxqJ6VUKH3seg,0.741,0.388,10,-16.693,1,0.031,0.384,0.0235,0.0933,0.589,126.819,382373,4
73,madness,one step beyond,spotify:track:1G6eFFDRaLr9EbThnhzMBD,0.477,0.94,0,-4.888,0,0.0423,0.0124,0.032,0.412,0.941,154.82,138360,4
74,earth & fire,weekend,spotify:track:1bZr5vH0cfmKu5ODpD0DEO,0.866,0.572,9,-11.164,0,0.0374,0.366,0.00036,0.13,0.559,121.751,214907,4
75,benny mardones,into the night,spotify:track:0rhyBUAgNXwdyvGVXSrLzc,0.435,0.69,0,-6.635,0,0.0388,0.463,0,0.104,0.51,163.486,271800,4
76,"ray, goodman & brown",special lady,spotify:track:570KJytRkVHTIocq1qomWF,0.551,0.447,9,-12.293,1,0.0401,0.463,3.73e-06,0.189,0.558,84.175,252800,4
77,rupert holmes,him,spotify:track:5rMthFHPxRDi4Uxg06iK6H,0.718,0.436,4,-13.524,1,0.032,0.339,0,0.0504,0.962,109.437,246293,4
78,air supply,lost in love,spotify:track:6MfVSA5iKBPHzo6RGARjL0,0.583,0.316,7,-19.292,1,0.0315,0.425,5.67e-05,0.11,0.436,114.362,233867,4
79,bob seger & the silver bullet band,against the wind,spotify:track:1SWmFiFSIBoDbQJjNKC7SR,0.674,0.771,7,-5.612,1,0.0246,0.28,0.0318,0.133,0.718,109.618,333720,4
80,the manhattans,shining star,spotify:track:0np4arBSp4ZBOfXGZhXQ4I,0.612,0.329,4,-13.038,1,0.0365,0.0633,0,0.0658,0.572,74.046,281853,4
81,shalamar,the second time around,spotify:track:6yh8yf1jpPrTMA5cezYpbi,0.801,0.388,1,-12.135,1,0.0505,0.0123,7.16e-05,0.0924,0.577,112.367,223293,4
82,david bowie,fashion,spotify:track:1MMYuuvnD3O9Sn90gDabv9,0.855,0.723,0,-9.508,1,0.0378,0.549,0.144,0.083,0.962,109.235,290480,4
83,the gibson brothers,que sera mi vida (if you should go),spotify:track:17NnCd8UmhjKXCjPbM3ziG,0.685,0.556,5,-11.363,1,0.0438,0.0485,0.011,0.0364,0.512,130.201,237280,4
84,oliver onions,santa maria,spotify:track:6viCOVcNpwe5WT7uu7gDUr,0.681,0.724,7,-5.409,1,0.0259,0.241,4.8e-05,0.368,0.562,105.001,241067,4
85,kate bush,babooshka,spotify:track:53Mz9H5UvWMQUXHZnaZYKQ,0.466,0.439,5,-8.892,0,0.0325,0.741,1.64e-05,0.0707,0.289,107.173,209933,4
86,pat benatar,hit me with your best shot ,spotify:track:0vOkmmJEtjuFZDzrQSFzEE,0.741,0.58,4,-9.05,1,0.0304,0.117,3.31e-05,0.212,0.944,127.402,171267,4
87,diana ross,i'm coming out,spotify:track:3SnGymj6ijE2iuUfWxLo1q,0.72,0.828,5,-9.211,1,0.0462,0.185,0.429,0.0839,0.768,110.071,323347,4
88,peter gabriel,games without frontiers,spotify:track:4TVnzZW8dIPjMjg5e8gKhH,0.738,0.717,6,-9.623,1,0.0545,0.326,3.79e-05,0.133,0.915,95.949,246973,4
89,the nolans,i'm in the mood for dancing,spotify:track:4aGVpNl4csfQ2W1i4Ao40q,0.451,0.73,9,-9.828,1,0.0483,0.373,4.4e-06,0.439,0.879,210.654,198600,4
90,christopher cross,ride like the wind,spotify:track:7gUMShP1l20tC0xf17Zplk,0.669,0.707,0,-13.66,0,0.0478,0.347,0.000716,0.0997,0.806,124.335,275507,4
91,michael jackson,she's out of my life,spotify:track:6NGsHLZYGVAkXTFr75WWnn,0.293,0.0348,4,-23.92,1,0.0414,0.962,0.000212,0.105,0.101,130.959,218267,4
92,jermaine jackson,let's get serious,spotify:track:416LkbWckopGVSUoJKgOiR,0.754,0.778,10,-9.029,0,0.0526,0.0958,2.96e-06,0.245,0.935,109.602,214467,4
93,electric light orchestra,i'm alive,spotify:track:6jbuhSdZ5l8WDO88xJLt3T,0.56,0.662,2,-7.416,1,0.0344,0.208,4.06e-05,0.253,0.624,128.075,226693,4
94,willie nelson,on the road again,spotify:track:1OmKo4t4Bh95xQI6WGiUR3,0.714,0.724,4,-8.488,1,0.042,0.55,0.101,0.826,0.802,111.173,153107,4
95,billy joel,you may be right,spotify:track:7gMOe0gXYcELUoVugfMmHP,0.567,0.945,9,-7.243,1,0.0458,0.175,2.6e-06,0.35,0.961,150.792,253200,4
96,paul simon,late in the evening,spotify:track:2h23bjG8B3bcD47HBu6bHG,0.72,0.88,5,-8.988,1,0.0406,0.199,0.0246,0.0865,0.961,118.623,242707,4
97,prince,i wanna be your lover,spotify:track:2XLAzm8bMDSI7MhbRW8nVj,0.812,0.506,1,-8.825,0,0.0453,0.0399,0.0847,0.0671,0.727,114.832,347667,4
98,spargo,you & me,spotify:track:7vdCyoiMaAaC3cVXqrtXNj,0.797,0.679,6,-9.645,0,0.0758,0.383,2.31e-05,0.0677,0.96,119.832,254160,4
99,andy gibb,desire,spotify:track:4DhSKuTuOcQ0t7EnC7QTWu,0.83,0.596,7,-6.996,1,0.0415,0.0902,0.000245,0.345,0.915,123.28,268707,4
100,kim carnes,bette davis eyes,spotify:track:0odIT9B9BvOCnXfS0e4lB5,0.675,0.649,5,-10.271,1,0.0319,0.0204,0,0.0959,0.596,116.624,228000,4
101,olivia newton-john,(let's get) physical,spotify:track:6IRtIunI8KTYCmGpClcg3B,0.847,0.79,4,-8.261,0,0.0369,0.314,0.495,0.147,0.748,119.993,264569,4
102,diana ross & lionel richie,endless love,spotify:track:31hptTVHvUY0MdGG2LgXzh,0.453,0.394,10,-7.154,1,0.0251,0.335,0,0.14,0.203,93.381,266453,4
104,soft cell,tainted love,spotify:track:0cGG2EouYCEEC3xfa0tDFV,0.5,0.501,0,-8.284,0,0.0376,0.462,0,0.26,0.623,144.438,153800,4
105,phil collins,in the air tonight,spotify:track:18AXbzPzBS8Y3AkgSxzJPb,0.446,0.239,0,-13.945,1,0.0316,0.551,4.1e-06,0.0697,0.298,189.507,336453,4
106,john lennon,woman,spotify:track:0GGxVTb0UwDwdaKNjBdCn3,0.588,0.656,3,-6.373,1,0.0224,0.378,0.00227,0.042,0.746,79.701,212933,4
107,kool & the gang,celebration,spotify:track:3K7Q9PHUWPTaknlbFPThn2,0.885,0.664,1,-11.795,1,0.0524,0.145,0.0483,0.0767,0.906,121.632,298867,4
108,christopher cross,arthur's theme (best that you can do),spotify:track:5fnOrhQ4KgT5irGCjIccGH,0.526,0.515,9,-11.169,1,0.0389,0.169,0.000816,0.181,0.518,136.543,234493,4
109,dolly parton,9 to 5,spotify:track:4w3tQBXhn5345eUXDGBWZG,0.554,0.783,6,-5.852,1,0.0457,0.416,1.54e-06,0.631,0.813,105.39,162467,4
110,sheena easton,morning train (nine to five),spotify:track:1qvDt6W8oaTO9Q4pFNMFEm,0.76,0.556,5,-8.872,0,0.0817,0.63,0,0.148,0.817,121.818,200827,4
111,joe dolce,shaddup you face,spotify:track:0HsYClVWXAYB4hIQvsJatH,0.715,0.462,4,-6.665,1,0.0278,0.0218,0.025,0.277,0.801,118.027,196014,4
112,the rolling stones,start me up,spotify:track:7HKez549fwJQDzx3zLjHKC,0.631,0.932,5,-4.142,1,0.0354,0.0436,0.137,0.0918,0.971,122.429,213067,4
113,blondie,rapture,spotify:track:6F2vo4sxRNQ58VYe3pdiaL,0.724,0.704,11,-8.258,0,0.0511,0.113,0.00425,0.466,0.96,107.486,299373,4
114,the police,every little thing she does is magic,spotify:track:44aTAUBF0g6sMkMNE8I5kd,0.558,0.768,2,-9.997,1,0.0343,0.121,0.0626,0.124,0.429,81.909,260573,4
115,reo speedwagon,keep on loving you,spotify:track:4rcHWl68ai6KvpXlc8vbnE,0.306,0.722,0,-5.963,1,0.034,0.0519,0,0.117,0.41,174.732,200293,4
116,sheena easton,for your eyes only,spotify:track:4jRJWlkCn3pAwezfqFODU3,0.244,0.44,7,-7.777,1,0.0475,0.871,8.65e-05,0.372,0.113,82.02,184480,4
117,foreigner ,waiting for a girl like you,spotify:track:2OgVsp77En2nju8pnCieVU,0.33,0.469,10,-9.286,0,0.0335,0.31,2.3e-06,0.0402,0.433,201.327,292067,4
118,"earth, wind & fire",let's groove,spotify:track:3koCCeSaVUyrRo3N2gHrd8,0.869,0.648,11,-8.698,0,0.0633,0.121,2.17e-05,0.126,0.9,125.035,339320,4
119,smokey robinson,being with you,spotify:track:5khAYmr8HHFwI3sp0Lw9wp,0.649,0.434,0,-9.529,0,0.0267,0.764,2.44e-06,0.0822,0.572,108.754,246960,4
120,rick springfield,jessie's girl,spotify:track:5RsUlxLto4NZbhJpqJbHfN,0.727,0.834,2,-5.851,1,0.0496,0.165,0,0.105,0.816,131.7,194120,4
121,kim wilde,kids in america,spotify:track:1YGZyfvdgZxzipWoWYVKxi,0.557,0.782,4,-3.899,1,0.0475,0.0953,6.75e-06,0.118,0.305,159.621,205533,4
122,the police,"de do do do, de da da da",spotify:track:0yJvWbn8xQKiDZ84VN5lQG,0.78,0.523,9,-8.884,1,0.051,0.06,0.0629,0.24,0.855,147.86,247293,4
123,queen & david bowie,under pressure,spotify:track:11IzgLRXV7Cgek3tEgGgjw,0.671,0.711,2,-7.813,1,0.0478,0.422,0,0.104,0.466,113.809,248440,4
124,don mclean,cryin',spotify:track:2gjQdYRk5A17t5pNxQXmuN,0.302,0.344,0,-11.894,1,0.0277,0.466,1.53e-06,0.184,0.242,140.763,230560,4
125,rod stewart,passion,spotify:track:0vZCwj0Mq5uS8GwSIYo6Y7,0.692,0.525,9,-12.691,1,0.0373,0.0212,0.0019,0.0944,0.0879,103.679,333200,4
126,foreigner,urgent,spotify:track:08onVqQ8YicJ98Ycm1qoLf,0.855,0.803,4,-5.849,0,0.0316,0.342,0.00732,0.0841,0.962,114.867,271200,4
127,hall & oates,kiss on my list,spotify:track:7cDzJyC95jtGO9zAeZsWOg,0.815,0.741,0,-9.478,1,0.031,0.434,0.115,0.0689,0.965,121.221,264987,4
128,electric light orchestra,hold on tight,spotify:track:6yBbmHFTxihIDFAerzDMGi,0.439,0.794,7,-11.792,1,0.0633,0.159,1.69e-06,0.434,0.748,145.056,186600,4
129,aneka,japanese boy,spotify:track:4VmmNHz5nigftA0B3GR0M5,0.704,0.789,2,-4.909,1,0.0466,0.026,0.169,0.144,0.534,120.587,237989,4
130,george harrison,all those years ago,spotify:track:32fKHW6Eac4yBXn9WY7Aic,0.555,0.639,2,-6.832,1,0.033,0.137,1.99e-05,0.0733,0.518,125.77,227320,4
131,rod stewart,young turks,spotify:track:5n1amEDwVKucAGMqePk9yN,0.641,0.821,5,-8.783,0,0.0325,0.274,0.487,0.138,0.705,161.143,302413,4
132,juice newton,angel of the morning,spotify:track:11y8GSP2ASv8S9n0FiiDva,0.452,0.313,8,-9.309,1,0.026,0.433,2.6e-05,0.0772,0.344,75.806,250440,4
133,grover washington jr,just the two of us,spotify:track:1ko2lVN0vKGUl9zrU0qSlT,0.749,0.497,10,-12.609,0,0.105,0.41,0.0499,0.0504,0.585,95.818,438493,4
134,abba,one of us,spotify:track:6zgtBUEkAfilJ2YEOvNexR,0.646,0.388,7,-15.264,1,0.0388,0.495,0.000634,0.0673,0.854,82.216,237720,4
135,hall & oates,private eyes,spotify:track:5HQ639Z3ms3hnZx0KfWnkp,0.85,0.938,9,-6.889,0,0.0415,0.409,0.000346,0.0582,0.84,120.826,217200,4
136,visage,fade to grey,spotify:track:3yobQNuKVJ62WDU7h725Fu,0.604,0.416,2,-17.154,0,0.0372,0.000315,0.0165,0.0897,0.512,112.338,239360,4
137,bucks fizz,making your mind up,spotify:track:0Azn2vpP3Sbs8qAG8e1KUc,0.64,0.834,2,-9.413,1,0.0534,0.278,0,0.0459,0.971,173.565,158440,4
138,joey scarbury,theme from 'greatest american hero' (believe it or not),spotify:track:375ntCG12wzCyfzclwYFwG,0.521,0.743,2,-5.903,1,0.0338,0.249,0,0.096,0.451,117.129,195293,4
139,the pointer sisters,slow hand,spotify:track:3fvDLsiTHPQNgzuMd3Mpb5,0.826,0.558,6,-7.766,1,0.0322,0.403,1.94e-05,0.0631,0.359,110.77,231960,4
140, ultravox,vienna,spotify:track:3cbLm923IeoVDOMEPOfosc,0.583,0.614,5,-10.312,1,0.0643,0.16,0.234,0.109,0.456,80.747,278227,4
141,shakin' stevens,this ole house,spotify:track:6A7Y3xy2JbIsdW5rM4Yn8M,0.502,0.965,10,-2.946,1,0.112,0.053,0,0.34,0.962,192.811,185867,4
142,juice newton,queen of hearts,spotify:track:6R6ib5FgDYlG0rPA9c5DVv,0.658,0.862,2,-9.963,1,0.0535,0.211,5.44e-05,0.2,0.969,169.532,205827,4
144,air supply,the one that you love,spotify:track:3FDAd5vW4P7xe1GBNOLyfD,0.396,0.479,5,-8.072,1,0.0268,0.728,9.51e-06,0.102,0.184,109.973,259000,4
145,jona lewie,stop the cavalry,spotify:track:2bPQuniBB9x0fRtxDly0kr,0.698,0.384,9,-9.471,1,0.0398,0.35,0.00239,0.0772,0.745,97.215,176360,4
146,the commodores,lady (you bring me up),spotify:track:5CLozJK4pKWoPpFf2Z1Mye,0.892,0.593,0,-9.429,0,0.0405,0.2,0.000339,0.0996,0.867,120.979,293227,4
147,styx,the best of times,spotify:track:7GRUpcvSQM9HrnC2CjYPG4,0.341,0.324,0,-11.864,1,0.025,0.13,1.11e-06,0.134,0.321,78.662,257867,4
148,rick james,super freak,spotify:track:2dCmGcEOQrMQhMMS8Vj7Ca,0.838,0.794,9,-8.245,0,0.0531,0.22,0,0.0575,0.962,132.446,205467,4
149,michael jackson,one day in your life,spotify:track:7vtaQNW7QHtQsLeshQlm3D,0.294,0.483,4,-11.674,1,0.031,0.506,0.0185,0.128,0.174,79.946,258160,4
150,kim wilde, chequered love,spotify:track:32CzlQoaKgZxT3WA4qHSgs,0.557,0.658,7,-4.266,1,0.0527,0.071,0.0253,0.0529,0.807,182.007,200893,4
151,the specials,ghost town,spotify:track:2vEUFrRByOKob8yqOd6LuA,0.665,0.766,10,-9.454,0,0.0505,0.0492,0.338,0.113,0.905,73.683,219307,4
152,ray parker jr & raydio,a woman needs love (just like you do),spotify:track:6NRJaJUS7rtm3XZNOboH4q,0.76,0.465,6,-12.07,0,0.0328,0.197,2.97e-06,0.185,0.866,92.277,244133,4
153,steve winwood,while you see a chance,spotify:track:4JAFyW6oZV6DIADeV619QG,0.602,0.732,2,-8.29,1,0.0282,0.36,0.000314,0.0755,0.411,129.355,312773,4
154,journey,don't stop believin',spotify:track:4bHsxqR3GMrXTxEPLuK5ue,0.5,0.748,4,-9.072,1,0.0363,0.127,0,0.447,0.514,118.852,250987,4
155,shakin' stevens,(you drive me) crazy,spotify:track:2j8bXaOBeEeyoY4ZpCcFIW,0.754,0.927,5,-2.597,1,0.0313,0.173,3.22e-06,0.307,0.975,119.494,171720,4
