,artist,song,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1138,tom petty and the heartbreakers,you got lucky,spotify:track:5eMZ3EPIMGoWlrrVhxatdv,0.687,0.649,9,-6.776,0,0.0273,0.0381,1.08e-05,0.043,0.641,114.811,217960,4
1139,glenn frey, partytown,spotify:track:6LM6C6IjkDXqjjVQEwlzC9,0.713,0.7,4,-7.778,1,0.0318,0.0778,0.0127,0.0861,0.973,140.52,177107,4
1140,greg kihn band,testify,spotify:track:3JX1IZrqOysN1zrRzsfvUC,0.464,0.953,2,-2.769,1,0.0834,0.00382,1.18e-06,0.06,0.877,175.437,181787,4
1141,eddie money,think i'm in love,spotify:track:6mJQe0vTIojlxwyMwwy6YR,0.486,0.83,3,-10.815,1,0.037,0.0104,0.000475,0.0635,0.652,151.869,188533,4
1142,38 special,caught up in you,spotify:track:3jYRpwbctfqB77uU7T7K3U,0.425,0.681,1,-8.604,0,0.0316,0.0229,0.000219,0.0543,0.933,131.011,279333,4
1143,peter cetera,livin' in the limelight,spotify:track:7F9z1J9tq1tOvIOPsx5zm7,0.519,0.733,0,-9.967,1,0.0347,0.0161,0.00648,0.0928,0.408,96.403,262773,4
1144,the go-go's,we got the beat,spotify:track:5kz9GDBTX846OXwqWoyKzF,0.587,0.994,2,-5.61,1,0.045,0.155,0.0734,0.0319,0.481,151.941,153133,4
1145,a flock of seagulls,wishing (if i had a photograph of you),spotify:track:41TpvOhSCOJOHuOUggy9sv,0.507,0.803,1,-5.176,1,0.0388,0.104,0.678,0.054,0.682,120.23,330427,4
1146,le roux,addicted,spotify:track:76h9bEi4zZsVKuPgcaa198,0.616,0.807,9,-5.321,0,0.0328,0.00418,0.00687,0.219,0.563,119.315,177760,4
1147,joan jett,crimson and clover,spotify:track:4do0Z0rHdFUV3RSMxMQsdq,0.181,0.772,0,-5.201,1,0.0385,0.0601,0.00045,0.072,0.607,166.741,197493,4
1148,38 special,you keep runnin' away,spotify:track:2iH8pLgd3Pqjq4Dzj4juMP,0.646,0.708,9,-9.821,0,0.0335,0.00564,0,0.154,0.837,132.927,236733,4
1149,reo speedwagon,keep the fire burnin',spotify:track:7sFcJVrWPU9irTtQb9usn0,0.485,0.863,0,-6.037,1,0.0345,0.13,0.00178,0.242,0.793,104.469,235640,4
1150,peter gabriel,shock the monkey,spotify:track:6B2vTF4zhKdR4v4RDXkz3G,0.784,0.662,0,-8.539,1,0.0627,0.11,0.00136,0.112,0.923,148.416,328440,4
1151,rainbow,stone cold,spotify:track:7HXYoe65kmrPrJR1r0DGtW,0.419,0.613,7,-8.995,1,0.0316,0.0523,6.35e-05,0.361,0.733,112.638,317307,4
1152,scorpions,no one like you,spotify:track:26fZwf1ImE4aUJ4XaqOkUg,0.505,0.631,9,-10.433,0,0.038,0.0203,2.21e-05,0.141,0.835,118.178,237467,4
1153,prism,don't let him know,spotify:track:3e4wV57WXUDyKU09DuvL30,0.554,0.636,1,-7.981,0,0.0325,0.0548,3.62e-05,0.112,0.763,126.111,188600,4
